request_id,event_timestamp,processing_timestamp,endpoint,attempt_number,status,latency_ms,total_latency_ms,found,visited_count,runtime_ms,error_message
102,2025-12-26T15:54:24.431675,2025-12-26T15:54:24.440710,localhost:50051,1,SUCCESS,9.03,9.03,False,0,0.00,
103,2025-12-26T15:54:24.539148,2025-12-26T15:54:24.547211,localhost:50052,1,SUCCESS,8.06,8.06,False,0,0.00,
104,2025-12-26T15:54:24.648633,2025-12-26T15:54:24.656485,localhost:50051,1,SUCCESS,7.85,7.85,False,0,0.00,
105,2025-12-26T15:54:24.758862,2025-12-26T15:54:24.766924,localhost:50052,1,SUCCESS,8.06,8.06,False,0,0.00,
106,2025-12-26T15:54:24.867266,2025-12-26T15:54:24.875172,localhost:50051,1,SUCCESS,7.91,7.91,False,0,0.00,
107,2025-12-26T15:54:24.978180,2025-12-26T15:54:24.987197,localhost:50052,1,SUCCESS,8.02,8.02,False,0,0.00,
108,2025-12-26T15:54:25.085967,2025-12-26T15:54:25.090966,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
109,2025-12-26T15:54:25.195512,2025-12-26T15:54:25.200513,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
110,2025-12-26T15:54:25.304155,2025-12-26T15:54:25.312087,localhost:50051,1,SUCCESS,7.93,7.93,False,0,0.00,
111,2025-12-26T15:54:25.413934,2025-12-26T15:54:25.422945,localhost:50052,1,SUCCESS,9.01,9.01,False,0,0.00,
112,2025-12-26T15:54:25.523060,2025-12-26T15:54:25.531012,localhost:50051,1,SUCCESS,7.95,7.95,False,0,0.00,
113,2025-12-26T15:54:25.631409,2025-12-26T15:54:25.641200,localhost:50052,1,SUCCESS,9.79,9.79,False,0,0.00,
114,2025-12-26T15:54:25.740108,2025-12-26T15:54:25.748914,localhost:50051,1,SUCCESS,8.81,8.81,False,0,0.00,
115,2025-12-26T15:54:25.848424,2025-12-26T15:54:25.857887,localhost:50052,1,SUCCESS,9.46,9.46,False,0,0.00,
116,2025-12-26T15:54:25.956818,2025-12-26T15:54:25.969778,localhost:50051,1,SUCCESS,12.96,12.96,False,0,0.00,
117,2025-12-26T15:54:26.066630,2025-12-26T15:54:26.071633,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
118,2025-12-26T15:54:26.175144,2025-12-26T15:54:26.181144,localhost:50051,1,SUCCESS,6.00,6.00,False,0,0.00,
119,2025-12-26T15:54:26.283850,2025-12-26T15:54:26.292858,localhost:50052,1,SUCCESS,9.01,9.01,False,0,0.00,
120,2025-12-26T15:54:26.391019,2025-12-26T15:54:26.396022,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
121,2025-12-26T15:54:26.500578,2025-12-26T15:54:26.505578,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
122,2025-12-26T15:54:26.609338,2025-12-26T15:54:26.615356,localhost:50051,1,SUCCESS,6.02,6.02,False,0,0.00,
123,2025-12-26T15:54:26.719955,2025-12-26T15:54:26.724955,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
124,2025-12-26T15:54:26.829815,2025-12-26T15:54:26.834817,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
125,2025-12-26T15:54:26.939000,2025-12-26T15:54:26.945092,localhost:50052,1,SUCCESS,6.09,6.09,False,0,0.00,
126,2025-12-26T15:54:27.046719,2025-12-26T15:54:27.051717,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
127,2025-12-26T15:54:27.155673,2025-12-26T15:54:27.160585,localhost:50052,1,SUCCESS,4.91,4.91,False,0,0.00,
128,2025-12-26T15:54:27.264766,2025-12-26T15:54:27.270727,localhost:50051,1,SUCCESS,5.96,5.96,False,0,0.00,
129,2025-12-26T15:54:27.375241,2025-12-26T15:54:27.380242,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
130,2025-12-26T15:54:27.482828,2025-12-26T15:54:27.493818,localhost:50051,1,SUCCESS,10.99,10.99,False,0,0.00,
131,2025-12-26T15:54:27.592168,2025-12-26T15:54:27.597155,localhost:50052,1,SUCCESS,4.99,4.99,False,0,0.00,
132,2025-12-26T15:54:27.700875,2025-12-26T15:54:27.707859,localhost:50051,1,SUCCESS,6.98,6.98,False,0,0.00,
133,2025-12-26T15:54:27.810038,2025-12-26T15:54:27.817935,localhost:50052,1,SUCCESS,7.90,7.90,False,0,0.00,
134,2025-12-26T15:54:27.917990,2025-12-26T15:54:27.925872,localhost:50051,1,SUCCESS,7.88,7.88,False,0,0.00,
135,2025-12-26T15:54:28.028516,2025-12-26T15:54:28.033523,localhost:50052,1,SUCCESS,5.01,5.01,False,0,0.00,
136,2025-12-26T15:54:28.138779,2025-12-26T15:54:28.148059,localhost:50051,1,SUCCESS,9.28,9.28,False,0,0.00,
137,2025-12-26T15:54:28.247562,2025-12-26T15:54:28.253562,localhost:50052,1,SUCCESS,6.00,6.00,False,0,0.00,
138,2025-12-26T15:54:28.356339,2025-12-26T15:54:28.364341,localhost:50051,1,SUCCESS,8.00,8.00,False,0,0.00,
139,2025-12-26T15:54:28.464278,2025-12-26T15:54:28.472308,localhost:50052,1,SUCCESS,8.03,8.03,False,0,0.00,
140,2025-12-26T15:54:28.573332,2025-12-26T15:54:28.582275,localhost:50051,1,SUCCESS,8.94,8.94,False,0,0.00,
141,2025-12-26T15:54:28.682729,2025-12-26T15:54:28.688731,localhost:50052,1,SUCCESS,6.00,6.00,False,0,0.00,
142,2025-12-26T15:54:28.793285,2025-12-26T15:54:28.799301,localhost:50051,1,SUCCESS,6.02,6.02,False,0,0.00,
143,2025-12-26T15:54:28.903284,2025-12-26T15:54:28.909204,localhost:50052,1,SUCCESS,5.92,5.92,False,0,0.00,
144,2025-12-26T15:54:29.010567,2025-12-26T15:54:29.019437,localhost:50051,1,SUCCESS,8.87,8.87,False,0,0.00,
145,2025-12-26T15:54:29.118983,2025-12-26T15:54:29.123980,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
146,2025-12-26T15:54:29.228417,2025-12-26T15:54:29.236509,localhost:50051,1,SUCCESS,8.09,8.09,False,0,0.00,
147,2025-12-26T15:54:29.336408,2025-12-26T15:54:29.341409,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
148,2025-12-26T15:54:29.443773,2025-12-26T15:54:29.453270,localhost:50051,1,SUCCESS,9.50,9.50,False,0,0.00,
149,2025-12-26T15:54:29.551462,2025-12-26T15:54:29.556464,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
150,2025-12-26T15:54:29.661476,2025-12-26T15:54:29.669476,localhost:50051,1,SUCCESS,8.00,8.00,False,0,0.00,
151,2025-12-26T15:54:29.770470,2025-12-26T15:54:29.778331,localhost:50052,1,SUCCESS,7.86,7.86,False,0,0.00,
152,2025-12-26T15:54:29.878711,2025-12-26T15:54:29.886706,localhost:50051,1,SUCCESS,7.99,7.99,False,0,0.00,
153,2025-12-26T15:54:29.987442,2025-12-26T15:54:29.992511,localhost:50052,1,SUCCESS,5.07,5.07,False,0,0.00,
